name;date;tempc;humidpc
xm-09;2024-02-26T09:00:00.000-03:00;22,15;80
xm-09;2024-02-26T10:00:00.000-03:00;24,8;69
xm-09;2024-02-26T11:00:00.000-03:00;27,15;61
xm-09;2024-02-26T12:00:00.000-03:00;28,4;55
xm-09;2024-02-26T13:00:00.000-03:00;29,15;52
xm-09;2024-02-26T14:00:00.000-03:00;29,8;49
xm-09;2024-02-26T15:00:00.000-03:00;30,3;48
xm-09;2024-02-26T16:00:00.000-03:00;31,25;47
xm-09;2024-02-26T17:00:00.000-03:00;30,75;46
xm-09;2024-02-26T18:00:00.000-03:00;29,55;49
xm-09;2024-02-26T19:00:00.000-03:00;27,85;51
xm-09;2024-02-26T20:00:00.000-03:00;25,1;58
xm-09;2024-02-26T21:00:00.000-03:00;23,65;61
xm-09;2024-02-26T22:00:00.000-03:00;22,6;65
xm-09;2024-02-26T23:00:00.000-03:00;21,8;69
xm-09;2024-02-27T00:00:00.000-03:00;20,95;72
xm-09;2024-02-27T01:00:00.000-03:00;20,35;75
xm-09;2024-02-27T02:00:00.000-03:00;20,05;77
xm-09;2024-02-27T03:00:00.000-03:00;19,35;80
xm-09;2024-02-27T04:00:00.000-03:00;18,45;83
xm-09;2024-02-27T05:00:00.000-03:00;17,8;84
xm-09;2024-02-27T06:00:00.000-03:00;17,25;86
xm-09;2024-02-27T07:00:00.000-03:00;17,4;87
xm-09;2024-02-27T08:00:00.000-03:00;19,2;84
xm-09;2024-02-27T09:00:00.000-03:00;22;80
xm-09;2024-02-27T10:00:00.000-03:00;24,7;72
xm-09;2024-02-27T11:00:00.000-03:00;27,2;64
xm-09;2024-02-27T12:00:00.000-03:00;28,9;58
xm-09;2024-02-27T13:00:00.000-03:00;29,55;54
xm-09;2024-02-27T14:00:00.000-03:00;30,85;51
xm-09;2024-02-27T15:00:00.000-03:00;31,1;50
xm-09;2024-02-27T16:00:00.000-03:00;30,6;52
xm-09;2024-02-27T17:00:00.000-03:00;32,95;48
xm-09;2024-02-27T18:00:00.000-03:00;31,25;51
xm-09;2024-02-27T19:00:00.000-03:00;29,7;54
xm-09;2024-02-27T20:00:00.000-03:00;26,75;60
xm-09;2024-02-27T21:00:00.000-03:00;25,15;64
xm-09;2024-02-27T22:00:00.000-03:00;23,85;70
xm-09;2024-02-27T23:00:00.000-03:00;22,9;74
xm-09;2024-02-28T00:00:00.000-03:00;22,05;78
xm-09;2024-02-28T01:00:00.000-03:00;21,2;81
xm-09;2024-02-28T02:00:00.000-03:00;20,3;82
xm-09;2024-02-28T03:00:00.000-03:00;19,3;85
xm-09;2024-02-28T04:00:00.000-03:00;18,85;88
xm-09;2024-02-28T05:00:00.000-03:00;18,35;87
xm-09;2024-02-28T06:00:00.000-03:00;17,9;88
xm-09;2024-02-28T07:00:00.000-03:00;17,65;89
xm-09;2024-02-28T08:00:00.000-03:00;19,3;87
xm-09;2024-02-28T09:00:00.000-03:00;22,15;82
xm-09;2024-02-28T10:00:00.000-03:00;26,2;71
xm-09;2024-02-28T11:00:00.000-03:00;29,5;58
xm-09;2024-02-28T12:00:00.000-03:00;31;53
xm-09;2024-02-28T13:00:00.000-03:00;32,4;51
xm-09;2024-02-28T14:00:00.000-03:00;33,2;49
xm-09;2024-02-28T15:00:00.000-03:00;34,3;48
xm-09;2024-02-28T16:00:00.000-03:00;34,95;47
