Institution;year;sp
Universidade de Brasília;1973;Caryocar brasiliense
NA;1994;Caryocar brasiliense
Universidade Estadual Paulista;1972;Caryocar brasiliense
Universidade do Vale do Rio dos Sinos;1997;Caryocar brasiliense
NA;2002;Caryocar brasiliense
NA;1985;Caryocar brasiliense
NA;2007;Caryocar brasiliense
NA;2021;Caryocar brasiliense
NA;2012;Caryocar brasiliense
Escola Superior de Agricultura Luiz de Queiroz;2022;Caryocar brasiliense
NA;2021;Caryocar brasiliense
NA;1976;Caryocar brasiliense
Escola Superior de Agricultura Luiz de Queiroz;2002;Caryocar brasiliense
NA;2001;Caryocar brasiliense
Instituto de Pesquisas Ambientais;1980;Caryocar brasiliense
Universidade Federal de Uberlândia;2006;Caryocar brasiliense
NA;2018;Caryocar brasiliense
Universidade Federal do Paraná;1978;Caryocar brasiliense
Universidade Federal de Jataí;1998;Caryocar brasiliense
Universidade de São Paulo;1989;Caryocar brasiliense
Universidade Estadual Paulista;1971;Caryocar brasiliense
NA;1986;Caryocar brasiliense
Universidade Federal de Pelotas;1962;Caryocar brasiliense
NA;2020;Caryocar brasiliense
Universidade Estadual Paulista;1974;Caryocar brasiliense
NA;2004;Caryocar brasiliense
NA;2017;Caryocar brasiliense
Universidade Estadual de Campinas;1997;Caryocar brasiliense
Universidade de São Paulo;1994;Caryocar brasiliense
Escola Superior de Agricultura Luiz de Queiroz;1939;Caryocar brasiliense
Universidade Estadual de Campinas;1978;Caryocar brasiliense
Embrapa Pantanal;1995;Caryocar brasiliense
NA;1981;Caryocar brasiliense
NA;1981;Caryocar brasiliense
NA;1985;Caryocar brasiliense
Universidade Federal do Maranhão;1972;Caryocar brasiliense
Universidade Federal do Rio Grande do Sul;1965;Caryocar brasiliense
Universidade de Brasília;1972;Caryocar brasiliense
NA;1993;Caryocar brasiliense
NA;1986;Caryocar brasiliense
Universidade Estadual de Feira de Santana;2017;Caryocar brasiliense
Universidade Federal de Uberlândia;2003;Caryocar brasiliense
NA;2013;Caryocar brasiliense
NA;1964;Caryocar brasiliense
Universidade Estadual de Campinas;2016;Caryocar brasiliense
NA;2003;Caryocar brasiliense
NA;1985;Caryocar brasiliense
Universidade Federal de Uberlândia;1986;Caryocar brasiliense
NA;1985;Caryocar brasiliense
NA;1988;Caryocar brasiliense
Universidade Tecnológica Federal do Paraná;2013;Caryocar brasiliense
NA;1973;Caryocar brasiliense
Universidade Estadual Paulista;2003;Caryocar brasiliense
Universidade Estadual Paulista;2003;Caryocar brasiliense
Instituto de Pesquisas Ambientais;1973;Caryocar brasiliense
NA;1994;Caryocar brasiliense
NA;2010;Caryocar brasiliense
Instituto Agronômico de Campinas;1951;Caryocar brasiliense
NA;1977;Caryocar brasiliense
Instituto de Pesquisas Ambientais;1933;Caryocar brasiliense
NA;2017;Caryocar brasiliense
Universidade Estadual de Campinas;1977;Caryocar brasiliense
Instituto de Pesquisas Ambientais;1977;Caryocar brasiliense
Universidade Estadual Paulista;2001;Caryocar brasiliense
Instituto Nacional de Pesquisas da Amazônia;1993;Caryocar brasiliense
NA;1964;Caryocar brasiliense
Instituto de Pesquisas Ambientais;1981;Caryocar brasiliense
Instituto de Pesquisas Jardim Botânico do Rio de Janeiro;1968;Caryocar brasiliense
NA;2021;Caryocar brasiliense
Embrapa Recursos Genéticos e Biotecnologia;1985;Caryocar brasiliense
NA;2007;Caryocar brasiliense
NA;1993;Caryocar brasiliense
Instituto de Pesquisas Jardim Botânico do Rio de Janeiro;1977;Caryocar brasiliense
Instituto de Pesquisas Ambientais;1964;Caryocar brasiliense
NA;1985;Caryocar brasiliense
NA;1973;Caryocar brasiliense
NA;1998;Caryocar brasiliense
NA;1951;Caryocar brasiliense
Universidade Estadual Paulista;1986;Caryocar brasiliense
NA;2012;Caryocar brasiliense
Universidade de São Paulo;1982;Caryocar brasiliense
NA;1996;Caryocar brasiliense
NA;1997;Caryocar brasiliense
NA;2002;Caryocar brasiliense
NA;1985;Caryocar brasiliense
NA;1997;Caryocar brasiliense
Instituto de Pesquisas Ambientais;1972;Caryocar brasiliense
NA;1997;Caryocar brasiliense
Embrapa Recursos Genéticos e Biotecnologia;1993;Caryocar brasiliense
Universidade Estadual do Maranhão;2016;Caryocar brasiliense
NA;1993;Caryocar brasiliense
NA;2006;Caryocar brasiliense
Instituto Nacional de Pesquisas da Amazônia;1993;Caryocar brasiliense
Universidade do Estado de Minas Gerais;1986;Caryocar brasiliense
Instituto de Pesquisas Ambientais;1995;Caryocar brasiliense
Instituto Brasileiro de Geografia e Estatística;1988;Caryocar brasiliense
Universidade Federal de Uberlândia;2008;Caryocar brasiliense
Universidade Estadual de Feira de Santana;2010;Caryocar brasiliense
Instituto Nacional de Pesquisas da Amazônia;1979;Caryocar brasiliense
Universidade Estadual Paulista;2001;Caryocar brasiliense
NA;1997;Caryocar brasiliense
Universidade Federal da Bahia;1999;Caryocar brasiliense
Museu Botânico Municipal;1973;Caryocar brasiliense
Embrapa Pantanal;1985;Caryocar brasiliense
Universidade Estadual Paulista;1974;Caryocar brasiliense
NA;1985;Caryocar brasiliense
Universidade Estadual de Campinas;1986;Caryocar brasiliense
Instituto de Pesquisas Ambientais;1966;Caryocar brasiliense
Museu Botânico Municipal;2013;Caryocar brasiliense
Universidade Federal de Uberlândia;1999;Mauritia flexuosa
NA;1994;Mauritia flexuosa
Instituto Nacional de Pesquisas da Amazônia;1996;Mauritia flexuosa
Instituto Nacional de Pesquisas da Amazônia;1994;Mauritia flexuosa
NA;2022;Mauritia flexuosa
NA;1996;Mauritia flexuosa
Instituto Nacional de Pesquisas da Amazônia;1992;Mauritia flexuosa
NA;2008;Mauritia flexuosa
Embrapa Pantanal;1994;Mauritia flexuosa
NA;2008;Mauritia flexuosa
NA;1992;Mauritia flexuosa
NA;2007;Mauritia flexuosa
NA;1992;Mauritia flexuosa
NA;1994;Mauritia flexuosa
NA;2007;Mauritia flexuosa
NA;1994;Mauritia flexuosa
NA;2009;Mauritia flexuosa
Instituto de Pesquisas Jardim Botânico do Rio de Janeiro;2012;Mauritia flexuosa
Museu Paraense Emílio Goeldi;1987;Mauritia flexuosa
NA;2011;Mauritia flexuosa
NA;2008;Mauritia flexuosa
Instituto de Pesquisas Ambientais;1987;Mauritia flexuosa
NA;2011;Mauritia flexuosa
Museu Paraense Emílio Goeldi;1986;Mauritia flexuosa
Instituto Agronômico do Norte;1933;Mauritia flexuosa
NA;1987;Mauritia flexuosa
NA;2018;Mauritia flexuosa
Universidade Federal do Paraná;1999;Mauritia flexuosa
Universidade Estadual de Feira de Santana;2012;Mauritia flexuosa
NA;2018;Mauritia flexuosa
NA;2019;Mauritia flexuosa
Universidade Estadual de Feira de Santana;2007;Mauritia flexuosa
NA;2018;Mauritia flexuosa
NA;2018;Mauritia flexuosa
Universidade Estadual de Feira de Santana;2009;Mauritia flexuosa
Universidade Federal de Uberlândia;1997;Mauritia flexuosa
NA;2000;Mauritia flexuosa
Instituto Brasileiro de Geografia e Estatística;2019;Mauritia flexuosa
NA;2018;Mauritia flexuosa
Universidade Federal do Paraná;1984;Mauritia flexuosa
Instituto Brasileiro de Geografia e Estatística;2019;Mauritia flexuosa
Universidade Federal de Minas Gerais;2014;Mauritia flexuosa
NA;2017;Mauritia flexuosa
NA;2012;Mauritia flexuosa
Instituto de Pesquisas Jardim Botânico do Rio de Janeiro;1913;Mauritia flexuosa
Embrapa Recursos Genéticos e Biotecnologia;2019;Mauritia flexuosa
Embrapa Recursos Genéticos e Biotecnologia;2018;Mauritia flexuosa
NA;2007;Mauritia flexuosa
NA;2012;Mauritia flexuosa
NA;2006;Mauritia flexuosa
NA;2012;Mauritia flexuosa
NA;2006;Mauritia flexuosa
Instituto Nacional de Pesquisas da Amazônia;2007;Mauritia flexuosa
Instituto Brasileiro de Geografia e Estatística;2023;Mauritia flexuosa
NA;2003;Mauritia flexuosa
NA;2015;Mauritia flexuosa
NA;2003;Mauritia flexuosa
NA;2011;Mauritia flexuosa
NA;2004;Mauritia flexuosa
NA;2018;Mauritia flexuosa
Escola Superior de Agricultura Luiz de Queiroz;1997;Mauritia flexuosa
NA;2018;Mauritia flexuosa
NA;1987;Mauritia flexuosa
NA;1978;Mauritia flexuosa
NA;2018;Mauritia flexuosa
Universidade Federal do Maranhão;2016;Mauritia flexuosa
Museu Paraense Emílio Goeldi;2014;Mauritia flexuosa
Museu Botânico Municipal;1990;Mauritia flexuosa
Instituto Brasileiro de Geografia e Estatística;1978;Mauritia flexuosa
NA;1978;Mauritia flexuosa
Instituto de Pesquisas Jardim Botânico do Rio de Janeiro;2018;Mauritia flexuosa
Instituto Nacional de Pesquisas da Amazônia;1987;Mauritia flexuosa
Escola Superior de Agricultura Luiz de Queiroz;1997;Mauritia flexuosa
Museu Universitário - Universidade Federal do Acre;1994;Mauritia flexuosa
NA;1977;Mauritia flexuosa
Universidade do Estado de Mato Grosso;2012;Mauritia flexuosa
NA;2007;Mauritia flexuosa
NA;2017;Mauritia flexuosa
Embrapa Recursos Genéticos e Biotecnologia;2017;Mauritia flexuosa
NA;2015;Mauritia flexuosa
Universidade Federal de Jataí;2007;Mauritia flexuosa
NA;2018;Mauritia flexuosa
Universidade do Estado de Mato Grosso;2016;Mauritia flexuosa
Museu Botânico Municipal;1990;Mauritia flexuosa
Universidade Federal de Minas Gerais;2008;Mauritia flexuosa
Universidade Tecnológica Federal do Paraná;2014;Mauritia flexuosa
Instituto Agronômico do Norte;1942;Mauritia flexuosa
Universidade Tecnológica Federal do Paraná;2014;Mauritia flexuosa
NA;2016;Mauritia flexuosa
Universidade Tecnológica Federal do Paraná;2014;Mauritia flexuosa
Universidade Federal de Minas Gerais;2015;Mauritia flexuosa
NA;1861;Mauritia flexuosa
Universidade do Estado de Mato Grosso;2014;Mauritia flexuosa
Universidade Estadual de Londrina;1999;Mauritia flexuosa
Universidade Federal de Uberlândia;2002;Mauritia flexuosa
Universidade Federal de Uberlândia;2002;Mauritia flexuosa
Museu Paraense Emílio Goeldi;1980;Mauritia flexuosa
NA;1980;Mauritia flexuosa
NA;2019;Mauritia flexuosa
NA;1980;Mauritia flexuosa
Universidade Federal de Uberlândia;2002;Mauritia flexuosa
Universidade do Estado de Mato Grosso;2014;Mauritia flexuosa
Instituto Brasileiro de Geografia e Estatística;1980;Mauritia flexuosa
Universidade Federal de Uberlândia;2002;Mauritia flexuosa
NA;2010;Mauritia flexuosa
NA;2010;Mauritia flexuosa
NA;1999;Mauritia flexuosa
Universidade de São Paulo;1998;Mauritia flexuosa
Universidade Federal de Uberlândia;2002;Mauritia flexuosa
Universidade Federal de Uberlândia;2003;Mauritia flexuosa
Embrapa Recursos Genéticos e Biotecnologia;1979;Mauritia flexuosa
NA;2010;Mauritia flexuosa
Embrapa Recursos Genéticos e Biotecnologia;2012;Mauritia flexuosa
Universidade de São Paulo;2001;Mauritia flexuosa
NA;1973;Mauritia flexuosa
NA;1983;Mauritia flexuosa
Instituto Nacional de Pesquisas da Amazônia;1973;Mauritia flexuosa
NA;2011;Mauritia flexuosa
Universidade Federal do Paraná;1979;Mauritia flexuosa
NA;1998;Mauritia flexuosa
NA;1983;Mauritia flexuosa
NA;1973;Mauritia flexuosa
NA;2012;Mauritia flexuosa
Museu Botânico Municipal;1979;Mauritia flexuosa
NA;2012;Mauritia flexuosa
NA;2010;Mauritia flexuosa
Embrapa Recursos Genéticos e Biotecnologia;1983;Mauritia flexuosa
Universidade Estadual do Tocantins;2008;Mauritia flexuosa
NA;2018;Mauritia flexuosa
Instituto Agronômico do Norte;2012;Mauritia flexuosa
NA;1989;Mauritia flexuosa
NA;1988;Mauritia flexuosa
Museu Paraense Emílio Goeldi;2006;Mauritia flexuosa
Embrapa Semiárido;1988;Mauritia flexuosa
Museu Paraense Emílio Goeldi;1976;Mauritia flexuosa
Instituto Nacional de Pesquisas da Amazônia;1989;Mauritia flexuosa
Embrapa Recursos Genéticos e Biotecnologia;1995;Mauritia flexuosa
NA;1984;Mauritia flexuosa
Instituto Agronômico do Norte;1951;Mauritia flexuosa
Universidade Estadual de Feira de Santana;2009;Mauritia flexuosa
Embrapa Recursos Genéticos e Biotecnologia;1989;Mauritia flexuosa
NA;2018;Mauritia flexuosa
NA;2009;Mauritia flexuosa
NA;2010;Mauritia flexuosa
Universidade Federal da Paraíba;2003;Mauritia flexuosa
NA;2012;Mauritia flexuosa
NA;1989;Mauritia flexuosa
NA;2013;Mauritia flexuosa
NA;2016;Mauritia flexuosa
Embrapa Semiárido;1988;Mauritia flexuosa
Instituto de Pesquisas Jardim Botânico do Rio de Janeiro;1911;Mauritia flexuosa
Museu Botânico Municipal;1995;Mauritia flexuosa
Museu Paraense Emílio Goeldi;2017;Mauritia flexuosa
NA;2003;Mauritia flexuosa
Instituto Nacional da Mata Atlântica;1997;Mauritia flexuosa
NA;2009;Mauritia flexuosa
NA;1992;Mauritia flexuosa
Universidade do Estado do Pará;2012;Mauritia flexuosa
Instituto Nacional da Mata Atlântica;1997;Mauritia flexuosa
Universidade do Estado do Pará;2012;Mauritia flexuosa
NA;1997;Mauritia flexuosa
Instituto de Pesquisas Ambientais;1997;Mauritia flexuosa
Universidade do Estado do Pará;2012;Mauritia flexuosa
Instituto de Pesquisas Jardim Botânico do Rio de Janeiro;2017;Mauritia flexuosa
Universidade de São Paulo;1998;Mauritia flexuosa
Instituto de Pesquisas Jardim Botânico do Rio de Janeiro;2011;Mauritia flexuosa
Universidade do Estado do Pará;2012;Mauritia flexuosa
NA;1999;Mauritia flexuosa
Universidade do Estado de Mato Grosso;2016;Mauritia flexuosa
Instituto Nacional de Pesquisas da Amazônia;2003;Mauritia flexuosa
Embrapa Recursos Genéticos e Biotecnologia;2018;Mauritia flexuosa
Instituto de Pesquisas Ambientais;1997;Mauritia flexuosa
NA;1999;Mauritia flexuosa
NA;2011;Mauritia flexuosa
Universidade do Estado do Pará;2012;Mauritia flexuosa
Museu Paraense Emílio Goeldi;2012;Mauritia flexuosa
Instituto de Pesquisas Ambientais;1997;Mauritia flexuosa
Universidade de São Paulo;2007;Mauritia flexuosa
Universidade Federal do Oeste do Pará;2018;Mauritia flexuosa
Instituto de Pesquisas Ambientais;1997;Mauritia flexuosa
Instituto Nacional da Mata Atlântica;1997;Mauritia flexuosa
NA;2010;Mauritia flexuosa
NA;2004;Mauritia flexuosa
NA;2018;Mauritia flexuosa
NA;2012;Mauritia flexuosa
NA;2018;Mauritia flexuosa
Museu Universitário - Universidade Federal do Acre;1989;Mauritia flexuosa
NA;1993;Mauritia flexuosa
Embrapa Recursos Genéticos e Biotecnologia;1989;Mauritia flexuosa
Instituto de Pesquisas Jardim Botânico do Rio de Janeiro;1910;Mauritia flexuosa
Instituto Nacional de Pesquisas da Amazônia;1987;Mauritia flexuosa
Embrapa Recursos Genéticos e Biotecnologia;2016;Mauritia flexuosa
NA;2012;Mauritia flexuosa
Museu Paraense Emílio Goeldi;1977;Mauritia flexuosa
NA;2010;Mauritia flexuosa
Embrapa Semiárido;1985;Mauritia flexuosa
Universidade Estadual de Feira de Santana;2018;Mauritia flexuosa
Universidade Estadual de Feira de Santana;2016;Mauritia flexuosa
Instituto de Pesquisas Jardim Botânico do Rio de Janeiro;1912;Mauritia flexuosa
NA;2012;Mauritia flexuosa
Universidade Federal do Maranhão;2012;Mauritia flexuosa
NA;2004;Mauritia flexuosa
Instituto de Pesquisas Jardim Botânico do Rio de Janeiro;2011;Mauritia flexuosa
NA;2015;Mauritia flexuosa
NA;2012;Mauritia flexuosa
Instituto Nacional de Pesquisas da Amazônia;1993;Mauritia flexuosa
NA;1987;Mauritia flexuosa
NA;2018;Mauritia flexuosa
Museu Paraense Emílio Goeldi;1977;Mauritia flexuosa
Instituto Nacional de Pesquisas da Amazônia;1958;Mauritia flexuosa
Universidade Federal Rural de Pernambuco;2017;Mauritia flexuosa
Museu Universitário - Universidade Federal do Acre;1991;Mauritia flexuosa
NA;2018;Mauritia flexuosa
NA;1958;Mauritia flexuosa
NA;2018;Mauritia flexuosa
Museu Paraense Emílio Goeldi;2010;Mauritia flexuosa
NA;1987;Mauritia flexuosa
Museu Universitário - Universidade Federal do Acre;1991;Mauritia flexuosa
NA;1987;Mauritia flexuosa
NA;2016;Mauritia flexuosa
NA;2016;Mauritia flexuosa
NA;2017;Mauritia flexuosa
NA;2016;Mauritia flexuosa
NA;NA;Mauritia flexuosa
NA;2016;Mauritia flexuosa
NA;2016;Mauritia flexuosa
NA;2016;Mauritia flexuosa
NA;2016;Mauritia flexuosa
NA;2016;Mauritia flexuosa
Universidade Federal do Paraná;NA;Mauritia flexuosa
NA;2016;Mauritia flexuosa
NA;2016;Mauritia flexuosa
NA;2016;Mauritia flexuosa
Instituto Agronômico do Norte;NA;Mauritia flexuosa
NA;2016;Mauritia flexuosa
NA;2016;Mauritia flexuosa
NA;2017;Mauritia flexuosa
NA;2016;Mauritia flexuosa
NA;NA;Mauritia flexuosa
NA;2016;Mauritia flexuosa
NA;2016;Mauritia flexuosa
NA;NA;Mauritia flexuosa
NA;NA;Mauritia flexuosa
NA;NA;Mauritia flexuosa
NA;2016;Mauritia flexuosa
NA;2016;Mauritia flexuosa
NA;2016;Mauritia flexuosa
NA;NA;Mauritia flexuosa
NA;2016;Mauritia flexuosa
NA;NA;Mauritia flexuosa
NA;2016;Mauritia flexuosa
NA;2016;Mauritia flexuosa
NA;NA;Mauritia flexuosa
Instituto de Pesquisas Jardim Botânico do Rio de Janeiro;NA;Mauritia flexuosa
NA;2016;Mauritia flexuosa
NA;2016;Mauritia flexuosa
NA;NA;Mauritia flexuosa
NA;2016;Mauritia flexuosa
NA;2016;Mauritia flexuosa
NA;2016;Mauritia flexuosa
NA;2016;Mauritia flexuosa
NA;NA;Mauritia flexuosa
NA;2016;Mauritia flexuosa
NA;NA;Mauritia flexuosa
NA;NA;Mauritia flexuosa
Instituto Nacional de Pesquisas da Amazônia;2003;Mauritia flexuosa
NA;2016;Mauritia flexuosa
NA;NA;Mauritia flexuosa
NA;2003;Mauritia flexuosa
NA;2017;Mauritia flexuosa
NA;2016;Mauritia flexuosa
NA;2016;Mauritia flexuosa
NA;2017;Mauritia flexuosa
NA;2016;Mauritia flexuosa
NA;2016;Mauritia flexuosa
NA;2016;Mauritia flexuosa
NA;2017;Mauritia flexuosa
NA;NA;Mauritia flexuosa
NA;NA;Mauritia flexuosa
NA;NA;Mauritia flexuosa
NA;2016;Mauritia flexuosa
NA;2016;Mauritia flexuosa
Universidade Estadual de Feira de Santana;NA;Mauritia flexuosa
NA;NA;Mauritia flexuosa
NA;NA;Mauritia flexuosa
Instituto Agronômico de Campinas;NA;Mauritia flexuosa
NA;2017;Mauritia flexuosa
NA;2016;Mauritia flexuosa
NA;2016;Mauritia flexuosa
NA;2016;Mauritia flexuosa
NA;NA;Mauritia flexuosa
Universidade Estadual de Feira de Santana;NA;Mauritia flexuosa
NA;2016;Mauritia flexuosa
NA;2016;Mauritia flexuosa
NA;2016;Mauritia flexuosa
NA;2016;Mauritia flexuosa
NA;NA;Mauritia flexuosa
NA;2016;Mauritia flexuosa
NA;2017;Mauritia flexuosa
NA;NA;Mauritia flexuosa
NA;2016;Mauritia flexuosa
NA;NA;Mauritia flexuosa
NA;2016;Mauritia flexuosa
NA;2016;Mauritia flexuosa
NA;2016;Mauritia flexuosa
NA;2016;Mauritia flexuosa
NA;2016;Mauritia flexuosa
NA;2016;Mauritia flexuosa
NA;2016;Mauritia flexuosa
NA;2008;Mauritia flexuosa
NA;2016;Mauritia flexuosa
NA;2016;Mauritia flexuosa
NA;2016;Mauritia flexuosa
NA;2017;Mauritia flexuosa
NA;2017;Mauritia flexuosa
NA;2016;Mauritia flexuosa
NA;2016;Mauritia flexuosa
NA;2016;Mauritia flexuosa
NA;2016;Mauritia flexuosa
NA;2016;Mauritia flexuosa
Embrapa Recursos Genéticos e Biotecnologia;2013;Mauritia flexuosa
NA;2016;Mauritia flexuosa
NA;2016;Mauritia flexuosa
NA;2016;Mauritia flexuosa
NA;2016;Mauritia flexuosa
NA;2016;Mauritia flexuosa
NA;2017;Mauritia flexuosa
NA;2017;Mauritia flexuosa
NA;2016;Mauritia flexuosa
NA;2016;Mauritia flexuosa
NA;2016;Mauritia flexuosa
NA;2017;Mauritia flexuosa
NA;NA;Mauritia flexuosa
NA;NA;Mauritia flexuosa
NA;2016;Mauritia flexuosa
NA;2016;Mauritia flexuosa
NA;2017;Mauritia flexuosa
NA;2016;Mauritia flexuosa
NA;NA;Mauritia flexuosa
NA;2016;Mauritia flexuosa
NA;2016;Mauritia flexuosa
NA;2016;Mauritia flexuosa
NA;2016;Mauritia flexuosa
NA;2017;Mauritia flexuosa
NA;2016;Mauritia flexuosa
NA;2017;Mauritia flexuosa
NA;2017;Mauritia flexuosa
NA;2016;Mauritia flexuosa
NA;2016;Mauritia flexuosa
NA;NA;Mauritia flexuosa
NA;2016;Mauritia flexuosa
NA;2016;Mauritia flexuosa
NA;2016;Mauritia flexuosa
NA;2016;Mauritia flexuosa
NA;NA;Mauritia flexuosa
NA;2016;Mauritia flexuosa
NA;NA;Mauritia flexuosa
NA;2017;Mauritia flexuosa
NA;NA;Mauritia flexuosa
NA;2016;Mauritia flexuosa
NA;2017;Mauritia flexuosa
Instituto de Pesquisas Jardim Botânico do Rio de Janeiro;2013;Mauritia flexuosa
NA;2016;Mauritia flexuosa
NA;2017;Mauritia flexuosa
NA;2016;Mauritia flexuosa
